asin,country
1402747039,us
1402748817,us
1402748833,us
1402754078,us
1402754248,us
1402755775,us
1402759541,us
1402762380,us
1402762526,us
1402762593,us
1402769024,us
1410408140,us
1410409635,us
1410410153,us
1410410773,us
1410411435,us
1410411524,us
1410411532,us
1410411559,us
1410411575,us
1410411591,us
1410411737,us
1410411753,us
1410411796,us
1410411818,us
1410411826,us
1410411842,us
1410411877,us
1410411893,us
1410411923,us
1410411931,us
1410411958,us
1410411966,us
1410412040,us
1410412067,us
1410412075,us
1410412083,us
1410412148,us
1410412156,us
1410412164,us
1410412172,us
141041230X,us
1410412342,us
1410412350,us
1410412415,us
1410412423,us
1410412512,us
1410412539,us
1410412660,us
1410412679,us
1410412687,us
1410412725,us
1410412776,us
1410412822,us
141041292X,us
1410412954,us
1410412989,us
1410413098,us
141041311X,us
1410413306,us
1410413322,us
1410413543,us
1410413594,us
1414319312,us
1414326564,us
1416530924,us
1416533125,us
1416538682,us
141653993X,us
1416541853,us
1416541861,us
141654187X,us
1416543279,us
1416546928,us
1416547223,us
1416551050,us
1416551107,us
1416552286,us
1416552405,us
1416553193,us
141655520X,us
1416555765,us
1416555919,us
1416556184,us
1416558829,us
1416559272,us
1416560181,us
1416564209,us
1416566465,us
1416567593,us
1416567887,us
1416569693,us
1416572007,us
1416572945,us
1416576126,us
1416579095,us
1416583807,us
1416585141,us
1416585834,us
1416586202,us
1416587977,us
1416588981,us
1416589635,us
1416590692,us
1416590994,us
1416591419,us
1416591427,us
1416591486,us
1416593500,us
1416593608,us
1416593624,us
1416593691,us
1416594299,us
1416594841,us
1416597328,us
1416597441,us
141659762X,us
1416599185,us
1416599371,us
1416599452,us
1416939431,us
1416941800,us
1416942033,us
1416953582,us
141695466X,us
1416964762,us
1416975829,us
1416975926,us
1416978992,us
1421530651,us
1423100794,us
142312166X,us
1423604970,us
1423605918,us
1426204248,us
1426304129,us
142630417X,us
1426304196,us
1426700202,us
142670027X,us
1427798044,us
1427798613,us
1427807574,us
1432730916,us
1433501309,us
1433501406,us
1433900599,us
1434378799,us
143440403X,us
1434405052,us
1434450260,us
1436347416,us
1436369916,us
1436373077,us
1436373115,us
1436395135,us
1437880789,us
1437881734,us
1437891160,us
1438426151,us
1438426720,us
1438909403,us
1438937059,us
1438941307,us
1439100020,us
1439103259,us
1439116881,us
1439132321,us
1439136149,us
1439138060,us
1439138176,us
1439140634,us
1439142343,us
1439150206,us
1440109672,us
1440117195,us
1553653890,us
1554074649,us
1554511755,us
1554531608,us
1554532426,us
1554532647,us
1554532795,us
1554534186,us
155597516X,us
1555975178,us
1556527381,us
1556527993,us
1557046824,us
1557048207,us
1557256381,us
1557788804,us
1558323848,us
1559708891,us
1559708972,us
1560979550,us
156163543X,us
1564785157,us
1565124634,us
1565125185,us
1565483081,us
1568583400,us
1568583923,us
1568584105,us
1568987803,us
1568987854,us
1569475148,us
1569475202,us
1569475385,us
1569475393,us
1569475458,us
156975683X,us
1569756899,us
1570916454,us
1570916551,us
1570916896,us
1571745904,us
1572933089,us
1573244147,us
157467174X,us
1578262860,us
1578262909,us
1579127800,us
1579621805,us
158008933X,us
1580089860,us
1580891098,us
158182677X,us
1581826842,us
1581826869,us
1581827032,us
158243459X,us
1582434670,us
1583303103,us
1583333339,us
1584797487,us
1585426849,us
1585427551,us
1586484265,us
1586484710,us
1586485571,us
1586486071,us
1586486373,us
1586487426,us
1587296942,us
1588167364,us
1588167461,us
1588463567,us
1589233921,us
158923393X,us
1589805704,us
1589806247,us
1589806263,us
1589806301,us
1589851129,us
1590201426,us
1590201698,us
1590201701,us
159020171X,us
1590201760,us
159051257X,us
1590513010,us
1590529111,us
1590585712,us
159058595X,us
1591026849,us
1591026970,us
1591026989,us
1591030706,us
1591842409,us
1592239498,us
1592239528,us
1592333516,us
1592404243,us
1592534562,us
1592535062,us
1592535089,us
1592642551,us
1592982549,us
1592982638,us
1592982743,us
1593155018,us
1593398417,us
1593592493,us
1593593007,us
1593598343,us
1594146780,us
1594146799,us
1594147183,us
1594147256,us
1594147272,us
1594147280,us
1594147302,us
1594147310,us
1594147329,us
1594147345,us
1594147396,us
1594147426,us
1594147434,us
1594147485,us
1594147515,us
1594147558,us
1594147795,us
1594148198,us
159420196X,us
1594201978,us
1594201994,us
1594202001,us
159420201X,us
1594202036,us
1594483507,us
1594488576,us
1594488606,us
1594488622,us
1594850631,us
1594868980,us
1595142223,us
1595438432,us
1595475605,us
1595540873,us
1595544984,us
1595551859,us
1595581391,us
1595583548,us
1595584226,us
1595822402,us
1596062096,us
159684423X,us
1596912448,us
1596913916,us
1596915749,us
1596923164,us
1596923210,us
1596985194,us
1597071307,us
1597071358,us
1597228575,us
1597228680,us
1597228699,us
1597228702,us
1597228788,us
1597229008,us
1598263080,us
1598263161,us
1598490648,us
1598530348,us
1598530356,us
1598588583,us
1599183390,us
1599213087,us
1599213575,us
1599213753,us
1599215721,us
159932105X,us
159953293X,us
1599532948,us
1599532956,us
1599532964,us
1599552183,us
1599552337,us
1599614367,us
1599614383,us
1599614391,us
1599614413,us
159961443X,us
1599614448,us
1599615118,us
1599615126,us
1599615134,us
1599615142,us
1599615150,us
1599615169,us
1599615185,us
1599615193,us
1599615207,us
1599615215,us
1599615231,us
159961524X,us
1599615258,us
1599615266,us
1599615274,us
1599615282,us
1599615290,us
1599615304,us
1599615320,us
1599615347,us
1599615355,us
1599615363,us
1599615371,us
159961538X,us
1599615398,us
1599615460,us
1599615479,us
1599615495,us
1599615517,us
1599615525,us
1599615533,us
1599615541,us
1599615568,us
1599615576,us
1599615606,us
1599615649,us
1599615657,us
1599615665,us
1599615681,us
159961569X,us
1599615711,us
159961572X,us
1599615738,us
1599615746,us
1599615754,us
1599615762,us
1599615770,us
1599615797,us
1599615800,us
1599615894,us
1599615908,us
1599615916,us
1599615924,us
1599615940,us
1599616025,us
1599616084,us
1599616092,us
1599616106,us
1599616114,us
1599616122,us
1599616130,us
1599616149,us
1599616157,us
1599797267,us
1599900491,us
1599902729,us
1599903229,us
1599950480,us
1599951533,us
1600103480,us
1600103529,us
1600103545,us
1600103669,us
1600782019,us
1600782841,us
1600850723,us
1601409303,us
1601421400,us
1601456964,us
1601457561,us
1602393664,us
1602601798,us
1602604452,us
1602604460,us
1602643016,us
1602643105,us
1602701970,us
1602701989,us
1602702012,us
1602702020,us
1602702349,us
1602702357,us
1602702365,us
1602702373,us
1602702381,us
160270239X,us
1602702705,us
1602702713,us
160270273X,us
1602702748,us
1602705720,us
1602705798,us
1602705801,us
160270581X,us
1602705828,us
1602705836,us
1602705844,us
1602705887,us
1602705909,us
1602705917,us
1602706247,us
1602853401,us
1602853592,us
1602853665,us
1602853703,us
1602853789,us
1602853800,us
1602853851,us
160285386X,us
1602853878,us
1602853924,us
1602853983,us
1602854106,us
1602854130,us
1602860238,us
1602860505,us
1603200479,us
1603200487,us
1603420924,us
1603580611,us
1603740856,us
1604131837,us
1604132000,us
1604132019,us
1604190051,us
1604330511,us
160473101X,us
1605980013,us
1606410296,us
1606646494,us
1606932845,us
1606934678,us
160693743X,us
1606937839,us
1606961349,us
1607060159,us
1607300443,us
1607620103,us
1607620170,us
160796077X,us
1608620018,us
1842432605,us
184319807X,us
1844673138,us
1844673170,us
